,,,Border length minimization,,,,,,,,,Conflict index minimization,,,,,,,
Dim,Q k,,Reptx,,Time,,Greedy,,Time,,,Reptx,,Time,,Greedy,,Time,
$300^2$, 5K 0,*,18.2935,#,1.1,*,18.3182,#,1.6,,-,462.5194,+,4.9,*,440.5166,#,5.4,FIM
       ,    1,-,18.2999,+,1.3,-,18.5037,+,1.6,,*,462.4656,#,5.1,-,444.7837,+,5.3,FIM
       ,    2,-,18.3072,+,1.2,-,18.4222,+,1.6,,-,462.6394,+,4.6,-,446.8662,+,5.3,FIM
       ,    3,-,18.3226,+,1.2,-,18.3863,+,1.6,,-,462.5885,+,5.1,-,447.7464,+,5.0,FIM
       ,    4,-,18.3279,+,1.3,-,18.3728,+,1.5,,-,462.7775,+,5.1,-,447.6559,+,5.3,FIM
       ,10K 0,*,18.1477,#,2.8,*,18.1830,#,4.3,,-,444.0354,+,9.7,*,426.3480,#,10.9,FIM
       ,    1,-,18.1529,+,2.8,-,18.3912,+,4.7,,-,444.0904,+,9.3,-,429.5617,+,11.3,FIM
       ,    2,-,18.1519,+,2.9,-,18.3058,+,4.5,,-,444.1960,+,10.0,-,431.7555,+,11.1,FIM
       ,    3,-,18.1591,+,2.8,-,18.2732,+,4.6,,*,443.9850,#,10.6,-,432.6821,+,11.3,FIM
       ,    4,-,18.1603,+,2.9,-,18.2415,+,4.6,,-,444.1745,+,9.8,-,432.3800,+,11.0,FIM
       ,20K 0,-,18.0274,+,7.2,*,18.0576,#,9.6,,-,426.7824,+,18.9,*,415.5003,#,30.3,FIM
       ,    1,-,18.0325,+,6.9,-,18.2813,+,9.2,,-,426.8863,+,18.5,-,418.2357,+,21.3,FIM
       ,    2,-,18.0277,+,6.6,-,18.1985,+,9.2,,-,426.8832,+,19.3,-,419.4866,+,21.1,FIM
       ,    3,*,18.0272,#,6.6,-,18.1617,+,9.5,,-,426.8694,+,19.6,-,420.7345,+,20.1,FIM
       ,    4,-,18.0321,+,7.5,-,18.1328,+,8.8,,*,426.6600,#,20.2,-,420.7332,+,21.0,FIM
$500^2$, 5K 0,*,17.6000,#,4.3,*,17.5830,#,5.8,,-,456.2042,+,15.2,*,432.3023,#,15.9,FIM
       ,    1,-,17.6095,+,4.1,-,17.7842,+,5.3,,*,456.1341,#,15.2,-,437.2417,+,16.2,FIM
       ,    2,-,17.6246,+,4.3,-,17.7087,+,5.3,,-,456.5261,+,14.1,-,439.7432,+,15.6,FIM
       ,    3,-,17.6474,+,3.8,-,17.6759,+,5.4,,-,456.5337,+,14.1,-,441.3441,+,16.2,FIM
       ,    4,-,17.6670,+,3.7,-,17.6561,+,5.4,,-,456.8203,+,15.3,-,441.0668,+,16.1,FIM
       ,10K 0,*,17.4503,#,13.1,*,17.4673,#,15.8,,-,438.7075,+,33.9,*,415.6951,#,35.4,FIM
       ,    1,-,17.4523,+,12.8,-,17.6765,+,16.0,,-,438.7379,+,33.6,-,419.7788,+,33.4,FIM
       ,    2,-,17.4582,+,12.7,-,17.5936,+,16.8,,*,438.6477,#,30.4,-,422.1943,+,36.3,FIM
       ,    3,-,17.4685,+,12.5,-,17.5550,+,16.2,,-,438.8183,+,30.8,-,424.0554,+,34.6,FIM
       ,    4,-,17.4755,+,12.5,-,17.5324,+,15.7,,-,438.9280,+,32.8,-,423.7936,+,35.2,FIM
       ,20K 0,-,17.3303,+,28.2,*,17.3554,#,33.3,,-,421.1358,+,66.7,*,401.4609,#,67.1,FIM
       ,    1,*,17.3297,#,29.0,-,17.5829,+,34.0,,-,421.1580,+,63.6,-,404.9949,+,69.8,FIM
       ,    2,-,17.3308,+,27.4,-,17.4939,+,34.1,,-,421.1087,+,67.7,-,406.9576,+,67.8,FIM
       ,    3,-,17.3344,+,27.4,-,17.4519,+,34.7,,*,420.9758,#,65.1,-,408.5048,+,69.4,FIM
       ,    4,-,17.3376,+,27.7,-,17.4273,+,33.7,,-,421.0436,+,64.2,-,408.4556,+,68.4,FIM
$800^2$, 5K 0,*,16.9760,#,12.2,*,16.9124,#,15.3,,*,448.0140,#,36.9,*,426.0757,#,41.9,FIM
       ,    1,-,16.9927,+,12.2,-,17.1259,+,15.5,,-,448.1474,+,40.3,-,430.9759,+,42.7,FIM
       ,    2,-,17.0187,+,11.7,-,17.0551,+,15.1,,-,448.6130,+,38.6,-,433.8504,+,42.9,FIM
       ,    3,-,17.0589,+,11.7,-,17.0214,+,15.4,,-,448.9159,+,40.2,-,435.4797,+,43.3,FIM
       ,    4,-,17.1085,+,12.0,-,17.0009,+,15.4,,-,449.1653,+,40.0,-,435.2589,+,43.2,FIM
       ,10K 0,*,16.8032,#,37.0,*,16.7951,#,45.5,,*,432.2283,#,88.2,*,408.3982,#,91.4,FIM
       ,    1,-,16.8111,+,39.1,-,17.0122,+,43.2,,-,432.5153,+,91.4,-,412.9971,+,95.1,FIM
       ,    2,-,16.8235,+,37.7,-,16.9333,+,45.1,,-,432.5031,+,85.8,-,415.7934,+,91.7,FIM
       ,    3,-,16.8353,+,37.7,-,16.8935,+,45.9,,-,432.6652,+,90.1,-,417.5229,+,95.2,FIM
       ,    4,-,16.8622,+,39.0,-,16.8748,+,45.6,,-,432.6980,+,91.9,-,417.5098,+,91.3,FIM
       ,20K 0,*,16.6771,#,83.1,*,16.6980,#,95.8,,*,415.6470,#,174.2,*,392.1786,#,186.4,FIM
       ,    1,-,16.6803,+,83.2,-,16.9263,+,93.2,,-,415.7402,+,181.1,-,396.3923,+,185.9,FIM
       ,    2,-,16.6851,+,83.4,-,16.8376,+,93.8,,-,415.6622,+,179.7,-,399.0043,+,186.9,FIM
       ,    3,-,16.6915,+,86.5,-,16.7947,+,94.4,,-,415.7609,+,172.3,-,400.7189,+,183.3,FIM
       ,    4,-,16.7007,+,80.3,-,16.7727,+,97.2,,-,415.7951,+,190.9,-,400.7257,+,189.3,FIM
